id, state, cur_score, action, reward, next_state, next_score
5,"[[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [2, 2, 0, 0]]",67688,left,4,"[[0, 0, 0, 4], [0, 0, 0, 0], [0, 0, 0, 0], [4, 0, 0, 0]]",67692
5,"[[0, 0, 0, 4], [0, 0, 0, 0], [0, 0, 0, 0], [4, 0, 0, 0]]",67692,right,0,"[[0, 0, 0, 4], [0, 0, 0, 0], [0, 0, 4, 0], [0, 0, 0, 4]]",67692
5,"[[0, 0, 0, 4], [0, 0, 0, 0], [0, 0, 4, 0], [0, 0, 0, 4]]",67692,down,8,"[[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 4, 4, 8]]",67700
5,"[[0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 4, 4, 8]]",67700,right,8,"[[0, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 8, 8]]",67708
5,"[[0, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0], [0, 0, 8, 8]]",67708,left,16,"[[4, 0, 0, 0], [4, 0, 0, 0], [0, 0, 0, 0], [16, 0, 0, 0]]",67724
5,"[[4, 0, 0, 0], [4, 0, 0, 0], [0, 0, 0, 0], [16, 0, 0, 0]]",67724,up,8,"[[8, 0, 0, 0], [16, 2, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",67732
5,"[[8, 0, 0, 0], [16, 2, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",67732,left,0,"[[8, 0, 0, 0], [16, 2, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0]]",67732
5,"[[8, 0, 0, 0], [16, 2, 0, 2], [0, 0, 0, 0], [0, 0, 0, 0]]",67732,left,4,"[[8, 0, 0, 4], [16, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",67736
5,"[[8, 0, 0, 4], [16, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 0]]",67736,up,0,"[[8, 4, 0, 4], [16, 0, 0, 4], [0, 0, 0, 0], [0, 0, 0, 0]]",67736
5,"[[8, 4, 0, 4], [16, 0, 0, 4], [0, 0, 0, 0], [0, 0, 0, 0]]",67736,left,8,"[[8, 8, 0, 0], [16, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 2]]",67744
5,"[[8, 8, 0, 0], [16, 4, 0, 0], [0, 0, 0, 0], [0, 0, 0, 2]]",67744,left,16,"[[16, 0, 0, 0], [16, 4, 0, 0], [0, 0, 2, 0], [2, 0, 0, 0]]",67760
5,"[[16, 0, 0, 0], [16, 4, 0, 0], [0, 0, 2, 0], [2, 0, 0, 0]]",67760,up,32,"[[32, 4, 2, 0], [2, 0, 0, 0], [0, 4, 0, 0], [0, 0, 0, 0]]",67792
5,"[[32, 4, 2, 0], [2, 0, 0, 0], [0, 4, 0, 0], [0, 0, 0, 0]]",67792,up,8,"[[32, 8, 2, 0], [2, 0, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0]]",67800
5,"[[32, 8, 2, 0], [2, 0, 0, 0], [2, 0, 0, 0], [0, 0, 0, 0]]",67800,up,4,"[[32, 8, 2, 0], [4, 0, 0, 0], [0, 0, 4, 0], [0, 0, 0, 0]]",67804
5,"[[32, 8, 2, 0], [4, 0, 0, 0], [0, 0, 4, 0], [0, 0, 0, 0]]",67804,left,0,"[[32, 8, 2, 0], [4, 0, 0, 0], [4, 4, 0, 0], [0, 0, 0, 0]]",67804
